#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
IDN,Indonesia,21806,Refugees by country of origin (thousands),7.044,2017
IDN,Indonesia,23806,Population with at least some secondary education (% ages 25 and older),48.80207,2017
IDN,Indonesia,23906,"Population with at least some secondary education, female (% ages 25 and older)",44.46585,2017
IDN,Indonesia,24006,"Population with at least some secondary education, male (% ages 25 and older)",53.21026,2017
IDN,Indonesia,24106,"Mean years of schooling, female (years)",7.4516,2017
IDN,Indonesia,24206,"Mean years of schooling, male (years)",8.385,2017
IDN,Indonesia,31706,Share of seats in parliament (% held by women),19.82142857,2017
IDN,Indonesia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",47.374,2017
IDN,Indonesia,43006,Vulnerable employment (% of total employment),47.5,2017
IDN,Indonesia,44206,Total population (millions),263.991379,2017
IDN,Indonesia,45106,Urban population (%),54.7,2017
IDN,Indonesia,48706,"Labour force participation rate (% ages 15 and older), female",50.7,2017
IDN,Indonesia,48806,"Labour force participation rate (% ages 15 and older), male",81.8,2017
IDN,Indonesia,49006,Sex ratio at birth (male to female births),1.05,2017
IDN,Indonesia,52606,"Remittances, inflows (% of GDP)",0.887438,2017
IDN,Indonesia,53506,"Foreign direct investment, net inflows (% of GDP)",2.17404,2017
IDN,Indonesia,63106,Population ages 15–64 (millions),177.73,2017
IDN,Indonesia,64306,"Infants lacking immunization, measles (% of one-year-olds)",25,2017
IDN,Indonesia,64406,"Infants lacking immunization, DPT (% of one-year-olds)",4,2017
IDN,Indonesia,65606,Gross fixed capital formation (% of GDP),32.16293298,2017
IDN,Indonesia,68606,Gender Inequality Index (GII),0.453384996,2017
IDN,Indonesia,69206,Life expectancy at birth (years),69.355,2017
IDN,Indonesia,69706,Expected years of schooling (years),12.81311,2017
IDN,Indonesia,71406,Inequality-adjusted education index,0.519500313,2017
IDN,Indonesia,71506,Inequality-adjusted life expectancy index,0.646930154,2017
IDN,Indonesia,71606,Inequality-adjusted income index,0.531844713,2017
IDN,Indonesia,73506,Overall loss in HDI due to inequality (%),18.82992625,2017
IDN,Indonesia,101606,Inequality in education (%),16.45102801,2017
IDN,Indonesia,101706,Inequality in income (%),24.8710851,2017
IDN,Indonesia,101806,Inequality in life expectancy (%),14.8,2017
IDN,Indonesia,103006,Mean years of schooling (years),7.97615,2017
IDN,Indonesia,103206,Life expectancy index,0.759307692,2017
IDN,Indonesia,103606,Income index,0.707909483,2017
IDN,Indonesia,103706,Education index,0.621791389,2017
IDN,Indonesia,110906,"Unemployment, youth (% ages 15–24)",15.6,2017
IDN,Indonesia,111306,Private capital flows (% of GDP),-4.018898,2017
IDN,Indonesia,120606,"Life expectancy at birth, female (years)",71.554,2017
IDN,Indonesia,121106,"Life expectancy at birth, male (years)",67.29,2017
IDN,Indonesia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),40.634,2017
