X,Y,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni
96.9095227480001,4.22508189200005,1,11,Aceh,7862,6265,282
99.0578878490001,2.18477921500005,2,12,Sumatera Utara,14209,11640,578
100.46680503,-0.85191434799998,3,13,Sumatera Barat,17142,13663,311
101.812891954,0.510525849000032,4,14,Riau,16446,13961,382
103.59932,-1.61775,5,15,Jambi,1438,934,30
104.170419445,-3.21334682199995,6,16,Sumatera Selatan,8666,7010,467
102.26312,-3.79116,7,17,Bengkulu,1392,1046,60
105.986948082,-2.25295641099996,8,19,Bangka Belitung,4277,3588,79
105.018313051,-4.91807308699993,9,18,Lampung,2669,1327,105
108.202228889,3.91594724100003,10,21,Kepulauan Riau,4735,3254,117
106.82649,-6.17148,11,31,DKI Jakarta,117462,108116,2440
107.602807898,-6.91998021599994,12,32,Jawa Barat,44182,32901,804
110.201112529,-7.25897038299996,13,33,Jawa Tengah,42372,32491,1990
110.445366971,-7.89501381499997,14,34,Daerah Istimewa Yogyakarta,4511,3620,111
112.733678801,-7.72011301899994,15,35,Jawa Timur,56070,49995,4007
106.109197069,-6.45618159899993,16,36,Banten,10831,8153,298
115.131650995,-8.36974326099994,17,51,Bali,12631,11530,403
117.506862452,-8.60665208399996,18,52,Nusa Tenggara Barat,4389,3540,229
121.14182917,-8.60484333199997,19,53,Nusa Tenggara Timur,830,593,14
111.120762401,-0.085901233999948,20,61,Kalimantan Barat,2060,1507,22
113.181047852,-1.63434004499993,21,62,Kalimantan Tengah,4926,4149,168
115.311307834,-2.44977913699995,22,63,Kalimantan Selatan,12447,11320,502
116.470858393,0.461046227000054,23,64,Kalimantan Timur,16807,14081,528
116.216718309,2.88882096100002,24,65,Kalimantan Utara,958,829,11
124.53537885,1.28609768700005,25,71,Sulawesi Utara,5911,4897,225
120.4495925,-1.45921495399995,26,72,Sulawesi Tengah,1156,859,48
120.161157704,-3.74711571199992,27,73,Sulawesi Selatan,19260,17172,474
122.078678056,-4.13280397099993,28,74,Sulawesi Tenggara,5673,4396,90
123.06184,0.53707,29,75,Gorontalo,3054,2893,88
119.343471383,-2.46190201499996,30,76,Sulawesi Barat,1307,925,17
129.360425,-3.12611934299997,31,81,Maluku,4115,3538,53
128.015929442,0.869337001000019,32,82,Maluku Utara,2290,1946,76
140.0,-5.0,33,94,Papua,9732,4930,137
132.968341712,-2.04172328199996,34,91,Papua Barat,4671,3970,71
113.915865,-0.989818181999965,35,0,Indonesia,0,0,0
