Date,Location,New Cases,New Deaths,New Recovered
5/1/2020,Aceh,1,0,0
5/1/2020,Bali,13,0,8
5/1/2020,Banten,14,0,0
5/1/2020,Bengkulu,0,0,0
5/1/2020,DKI Jakarta,135,4,2
5/1/2020,Daerah Istimewa Yogyakarta,9,0,5
5/1/2020,Gorontalo,0,0,0
5/1/2020,Indonesia,433,8,69
5/1/2020,Jambi,0,0,0
5/1/2020,Jawa Barat,4,0,3
5/1/2020,Jawa Tengah,22,1,6
5/1/2020,Jawa Timur,77,3,5
5/1/2020,Kalimantan Barat,3,0,0
5/1/2020,Kalimantan Selatan,9,0,4
5/1/2020,Kalimantan Tengah,11,1,2
5/1/2020,Kalimantan Timur,2,0,1
5/1/2020,Kalimantan Utara,15,0,1
5/1/2020,Kepulauan Bangka Belitung,9,0,0
5/1/2020,Kepulauan Riau,0,0,23
5/1/2020,Lampung,4,0,0
5/1/2020,Maluku,0,0,0
5/1/2020,Maluku Utara,1,0,0
5/1/2020,Nusa Tenggara Barat,3,0,0
5/1/2020,Nusa Tenggara Timur,0,0,0
5/1/2020,Papua,5,0,1
5/1/2020,Papua Barat,5,0,0
5/1/2020,Riau,1,0,1
5/1/2020,Sulawesi Barat,1,0,1
5/1/2020,Sulawesi Selatan,56,0,13
5/1/2020,Sulawesi Tengah,0,0,3
5/1/2020,Sulawesi Tenggara,0,0,1
5/1/2020,Sulawesi Utara,0,0,0
5/1/2020,Sumatera Barat,24,0,5
5/1/2020,Sumatera Selatan,6,0,5
5/1/2020,Sumatera Utara,0,0,0
5/2/2020,Aceh,0,0,0
5/2/2020,Bali,2,0,8
5/2/2020,Banten,9,0,0
5/2/2020,Bengkulu,0,0,0
5/2/2020,DKI Jakarta,70,17,24
5/2/2020,Daerah Istimewa Yogyakarta,10,0,0
5/2/2020,Gorontalo,0,0,0
5/2/2020,Indonesia,292,31,74
5/2/2020,Jambi,0,0,0
5/2/2020,Jawa Barat,36,1,2
5/2/2020,Jawa Tengah,19,0,8
5/2/2020,Jawa Timur,6,7,3
5/2/2020,Kalimantan Barat,7,0,0
5/2/2020,Kalimantan Selatan,0,0,0
5/2/2020,Kalimantan Tengah,1,0,0
5/2/2020,Kalimantan Timur,18,0,0
5/2/2020,Kalimantan Utara,7,0,0
5/2/2020,Kepulauan Bangka Belitung,0,0,0
5/2/2020,Kepulauan Riau,0,0,11
5/2/2020,Lampung,0,0,0
5/2/2020,Maluku,0,0,0
5/2/2020,Maluku Utara,0,0,0
5/2/2020,Nusa Tenggara Barat,17,0,1
5/2/2020,Nusa Tenggara Timur,0,0,0
